Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-02-22,Intra,Cea,IDN,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-02-16,Intra,Pre,IDN,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-02-10,Intra,Cea,IDN,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-02-10,Intra,Cea,IDN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2001-01-09,Intra,Pre,IDN,1,0,0,1,0,2,0,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Indonesia/Aceh,Government/territory,Asia and Pacific,2000-09-24,Intra,Pre,IDN,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2000-08-06,Intra,Pre,IDN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2000-06-24,Intra,Pre,IDN,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2000-05-12,Intra,Cea,IDN,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,Asia and Pacific,2000-01-27,Intra,Pre,IDN,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Moluccas,Inter-group,Asia and Pacific,2002-02-12,Intra,SubPar,IDN,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
